0-1		000000	Null set
1-1	0	000000	Unison
2-1	01	100000	Semitone
2-2	02	010000	Whole-tone
2-3	03	001000	Minor Third
2-4	04	000100	Major Third
2-5	05	000010	Perfect Fourth
2-6	06	000001	Tritone
3-1	012	210000	BACH /Chromatic Trimirror
3-2	013	111000	Phrygian Trichord
3-2i	023	111000	Minor Trichord
3-3	014	101100	Major-minor Trichord
3-3i	034	101100	Major-minor Trichord
3-4	015	100110	Incomplete Major-seventh Chord
3-4i	045	100110	Incomplete Major-seventh Chord
3-5	016	100011	Rite chord, Tritone-fourth
3-5i	056	100011	Rite chord, Tritone-fourth
3-6	024	020100	Whole-tone Trichord
3-7	025	011010	Incomplete Minor-seventh Chord
3-7i	035	011010	Incomplete Dominant-seventh Chord
3-8	026	010101	Incomplete Dominant-seventh Chord.1/Italian-sixth
3-8i	046	010101	Incomplete Half-dim-seventh Chord
3-9	027	010020	Quartal Trichord
3-10	036	002001	Diminished Chord
3-11	037	001110	Minor Chord
3-11i	047	001110	Major Chord
3-12	048	000300	Augmented Chord
4-1	0123	321000	BACH /Chromatic Tetramirror
4-2	0124	221100	Major-second Tetracluster
4-2i	0234	221100	Major-second Tetracluster
4-3	0134	212100	Alternating Tetramirror
4-4	0125	211110	Minor Third Tetracluster
4-4i	0345	211110	Minor Third Tetracluster
4-5	0126	210111	Major Third Tetracluster
4-5i	0456	210111	Major Third Tetracluster
4-6	0127	210021	Perfect Fourth Tetramirror
4-7	0145	201210	Arabian Tetramirror
4-8	0156	200121	Double Fourth Tetramirror
4-9	0167	200022	Double Tritone Tetramirror
4-10	0235	122010	Minor Tetramirror
4-11	0135	121110	Phrygian Tetrachord
4-11i	0245	121110	Major Tetrachord
4-12	0236	112101	Harmonic-minor Tetrachord
4-12i	0346	112101	Major-third Diminished Tetrachord
4-13	0136	112011	Minor-second Diminished Tetrachord
4-13i	0356	112011	Perfect-fourth Diminished Tetrachord
4-14	0237	111120	Major-second Minor Tetrachord
4-14i	0457	111120	Perfect-fourth Major Tetrachord
4-15	0146	111111	All-interval Tetrachord
4-15i	0256	111111	All-interval Tetrachord
4-16	0157	110121	Minor-second Quartal Tetrachord
4-16i	0267	110121	Tritone Quartal Tetrachord
4-17	0347	102210	Major-minor Tetramirror
4-18	0147	102111	Major-diminished Tetrachord
4-18i	0367	102111	Minor-diminished Tetrachord
4-19	0148	101310	Minor-augmented Tetrachord
4-19i	0348	101310	Augmented-major Tetrachord
4-20	0158	101220	Major-seventh Chord
4-21	0246	030201	Whole-tone Tetramirror
4-22	0247	021120	Major-second Major Tetrachord
4-22i	0357	021120	Perfect-fourth Minor Tetrachord
4-23	0257	021030	Quartal Tetramirror
4-24	0248	020301	Augmented Seventh Chord
4-25	0268	020202	French-sixth Chord
4-26	0358	012120	Minor-seventh Chord
4-27	0258	012111	Half-diminished Seventh Chord
4-27i	0368	012111	Dominant-seventh/German-sixth Chord
4-28	0369	004002	Diminished-seventh Chord
4-29	0137	111111	All-interval Tetrachord
4-29i	0467	111111	All-interval Tetrachord
5-1	01234	432100	Chromatic Pentamirror
5-2	01235	332110	Major-second Pentacluster
5-2i	02345	332110	Major-second Pentacluster
5-3	01245	322210	Minor-second Major Pentachord
5-3i	01345	322210	Spanish Pentacluster
5-4	01236	322111	Blues Pentacluster
5-4i	03456	322111	Minor-third Pentacluster
5-5	01237	321121	Major-third Pentacluster
5-5i	04567	321121	Major-third Pentacluster
5-6	01256	311221	Oriental Pentacluster, Raga Megharanji (13161)
5-6i	01456	311221	Oriental Pentacluster
5-7	01267	310132	DoublePentacluster, Raga Nabhomani (11415)
5-7i	01567	310132	Double Pentacluster
5-8	02346	232201	Tritone-Symmetric Pentamirror
5-9	01246	231211	Tritone-Expanding Pentachord
5-9i	02456	231211	Tritone-Contracting Pentachord
5-10	01346	223111	Alternating Pentachord
5-10i	02356	223111	Alternating Pentachord
5-11	02347	222220	Center-cluster Pentachord
5-11i	03457	222220	Center-cluster Pentachord
5-12	01356	222121	Locrian Pentamirror
5-13	01248	221311	Augmented Pentacluster
5-13i	02348	221311	Augmented Pentacluster
5-14	01257	221131	Double-seconds Triple-fourth Pentachord
5-14i	02567	221131	Double-seconds Triple-fourth Pentachord
5-15	01268	220222	Assymetric Pentamirror
5-16	01347	213211	Major-minor-dim Pentachord
5-16i	03467	213211	Major-minor-dim Pentachord
5-17	01348	212320	Minor-major Ninth Chord
5-18	01457	212221	Gypsy Pentachord
5-18i	02367	212221	Gypsy Pentachord
5-19	01367	212122	Javanese Pentachord
5-19i	01467	212122	Balinese Pentachord
5-20	01378	211231	Balinese Pelog Pentatonic (12414), Raga Bhupala, Raga Bibhas
5-20i	01578	211231	Hirajoshi Pentatonic (21414), Iwato (14142), Sakura/Raga Saveri (14214)
5-21	01458	202420	Syrian Pentatonic/Major-augmented Ninth Chord, Raga Megharanji (13134)
5-21i	03478	202420	Lebanese Pentachord/Augmented-minor Chord
5-22	01478	202321	Persian Pentamirror, Raga reva/Ramkali (13314)
5-23	02357	132130	Minor Pentachord
5-23i	02457	132130	Major Pentachord
5-24	01357	131221	Phrygian Pentachord
5-24i	02467	131221	Lydian Pentachord
5-25	02358	123121	Diminished-major Ninth Chord
5-25i	03568	123121	Minor-diminished Ninth Chord
5-26	02458	122311	Diminished-augmented Ninth Chord
5-26i	03468	122311	Augmented-diminished Ninth Chord
5-27	01358	122230	Major-Ninth Chord
5-27i	03578	122230	Minor-Ninth Chord
5-28	02368	122212	Augmented-sixth Pentachord
5-28i	02568	122212	Augmented-sixth Pentachord
5-29	01368	122131	Kumoi Pentachord
5-29i	02578	122131	Kumoi Pentachord
5-30	01468	121321	Enigmatic Pentachord
5-30i	02478	121321	Enigmatic Pentachord, Altered Pentatonic (14223)
5-31	01369	114112	Diminished Minor-Ninth Chord
5-31i	02369	114112	Ranjaniraga/Flat-Ninth Pentachord
5-32	01469	113221	Neapolitan Pentachord
5-32i	01479	113221	Neapolitan Pentachord
5-33	02468	040402	Whole-tone Pentamirror
5-34	02469	032221	Dominant-ninth/major-minor/Prometheus Pentamirror, Dominant Pentatonic (22332)
5-35	02479	032140	"Black Key" Pentatonic/Slendro/Bilahariraga/Quartal Pentamirror, Yo (23232)
5-36	01247	222121	Major-seventh Pentacluster
5-36i	03567	222121	Minor-seventh Pentacluster
5-37	03458	212320	Center-cluster Pentamirror
5-38	01258	212221	Diminished Pentacluster
5-38i	03678	212221	Diminished Pentacluster
6-1	012345	543210	Chromatic Hexamirror/1st ord. all-comb (P6, Ib, RI5)
6-2	012346	443211	comb I (b)
6-2i	023456	443211	comb I (1)
6-3	012356	433221	
6-3i	013456	433221	
6-4	012456	432321	comb RI (6)
6-5	012367	422232	comb I (b)
6-5i	014567	422232	comb I (3)
6-6	012567	421242	Double-cluster Hexamirror
6-7	012678	420243	Messiaen's mode 5 (114114), 2nd ord all-comb(P3+9,I5,Ib,R6,RI2+8)
6-8	023457	343230	1st ord all-comb (P6, I1, RI7)
6-9	012357	342231	comb I (b)
6-9i	024567	342231	comb I (3)
6-10	013457	333321	
6-10i	023467	333321	
6-11	012457	333231	
6-11i	023567	333231	
6-12	012467	332232	
6-12i	013567	332232	
6-13	013467	324222	Alternating Hexamirror/comb RI7)
6-14	013458	323430	comb P (6)
6-14i	034578	323430	comb P (6)
6-15	012458	323421	comb I (b)
6-15i	034678	323421	comb I (5)
6-16	014568	322431	comb I (3)
6-16i	023478	322431	Megha or "Cloud" Raga/comb.I (1)
6-17	012478	322332	
6-17i	014678	322332	
6-18	012578	322242	comb I (b)
6-18i	013678	322242	comb I (5)
6-19	013478	313431	
6-19i	014578	313431	
6-20	014589	303630	Augmented scale, Genus tertium, 3rd ord. all-comb (P2+6+10, I3+7+b, R4+8, RI1+5+9)
6-21	023468	242412	comb I (1)
6-21i	024568	242412	comb I (3)
6-22	012468	241422	comb I (b)
6-22i	024678	241422	comb I (5)
6-23	023568	234222	Super-Locrian Hexamirror/comb RI (8)
6-24	013468	233331	
6-24i	024578	233331	Melodic-minor Hexachord
6-25	013568	233241	Locrian Hexachord/Suddha Saveriraga
6-25i	023578	233241	Minor Hexachord
6-26	013578	232341	Phrygian Hexamirror/comb RI (8)
6-27	013469	225222	comb I (b)
6-27i	023569	225222	Pyramid Hexachord/comb I (1)
6-28	013569	224322	Double-Phrygian Hexachord/comb RI (6)
6-29	013689	224232	comb RI (9)
6-30 	013679	224223	Minor-bitonal Hexachord/comb R (6), I (5,b)
6-30i	023689	224223	Petrushka chord, Major-bitonal Hexachord, comb R (6), I (1,7)
6-31	013589	223431	comb I (7)
6-31i	014689	223431	comb I (b)
6-32	024579	143250	Arezzo major Diatonic (221223), major hexamirror, quartal hexamirror, 1st ord.all-comb P (6), I (3), RI (9)
6-33	023579	143241	Dorian Hexachord/comb I (1)
6-33i	024679	143241	Dominant-11th/Lydian Hexachord/comb I (5)
6-34	013579	142422	Scriabin's Mystic Chord or Prometheus Hexachord/comb I (B)
6-34i	024689	142422	Harmonic Hexachord/Augmented-11th/comb I (7)
6-35	02468A	060603	Wholetone scale/6th ord.all-comb.(P+IoddT, R+RIevenT)
6-36	012347	433221	
6-36	034567	433221	
6-37	012348	432321	comb RI (4)
6-38	012378	421242	comb RI (3)
6-39	023458	333321	
6-39i	034568	333321	
6-40	012358	333231	
6-40i	035678	333231	
6-41	012368	332232	
6-41i	025678	332232	
6-42	012369	324222	comb RI (3)
6-43	012568	322332	
6-43i	023678	322332	
6-44	012569	313431	Schoenberg Anagram Hexachord
6-44i	012589	313431	Bauli raga (133131)
6-45	023469	234222	comb RI (6)
6-46	012469	233331	
6-46i	024569	233331	
6-47	012479	233241	
6-47i	023479	233241	Blues mode (321132)
6-48	012579	232341	comb RI (2)
6-49	013479	224322	Prometheus Neapolitan mode (132312), comb RI (4)
6-50	014679	224232	comb RI (1)
7-1	0123456	654321	Chromatic Heptamirror
7-2	0123457	554331	
7-2i	0234567	554331	
7-3	0123458	544431	
7-3i	0345678	544431	
7-4	0123467	544332	
7-4i	0134567	544332	
7-5	0123567	543342	
7-5i	0124567	543342	
7-6	0123478	533442	
7-6i	0145678	533442	
7-7	0123678	532353	
7-7i	0125678	532353	
7-8	0234568	454422	
7-9	0123468	453432	
7-9i	0245678	453432	
7-10	0123469	445332	
7-10i	0234569	445332	
7-11	0134568	444441	
7-11i	0234578	444441	
7-12	0123479	444342	
7-13	0124568	443532	
7-13i	0234678	443532	
7-14	0123578	443352	
7-14i	0135678	443352	
7-15	0124678	442443	
7-16	0123569	435432	
7-16i	0134569	435432	
7-17	0124569	434541	
7-18	0123589	434442	
7-18i	0146789	434442	
7-19	0123679	434343	
7-19i	0123689	434343	
7-20	0124789	433452	Chromatic Phrygian inverse (1123113)
7-20i	0125789	433452	Pantuvarali Raga (1321131), Chromatic Mixolydian (1131132), Chromatic Dorian/Mela Kanakangi (1132113)
7-21	0124589	424641	
7-21i	0134589	424641	Gypsy hexatonic (1312113)
7-22	0125689	424542	Persian, Major Gypsy, Hungarian Minor, Double Harmonic scale, Bhairav That, Mayamdavagaula Raga (all: 1312131), Oriental (1311312)
7-23	0234579	354351	
7-23i	0245679	354351	Tritone Major Heptachord
7-24	0123579	353442	
7-24i	0246789	353442	Enigmatic Heptatonic (1322211)
7-25	0234679	345342	
7-25i	0235679	345342	
7-26	0134579	344532	
7-26i	0245689	344532	
7-27	0124579	344451	
7-27i	0245789	344451	Modified Blues mode (2121132)
7-28	0135679	344433	
7-28i	0234689	344433	
7-29	0124679	344352	
7-29i	0235789	344352	
7-30	0124689	343542	Neapolitan-Minor mode (1222131), Mela Dhenuka
7-30i	0135789	343542	
7-31	0134679	336333	Alternating Heptachord /Hungarian Major mode (3121212)
7-31i	0235689	336333	Alternating Heptachord
7-32	0134689	335442	Harmonic-Minor mode (2122131), Spanish Gypsy, Mela Kiravani, Pilu That
7-32i	0135689	335442	Dharmavati Scale (2131221), Harmonic minor inverse (1312212), Mela Cakravana, Raga Ahir Bhairav
7-33	012468A	262623	Neapolitan-major mode (1222221)/Leading-Whole-tone mode (222211)
7-34	013468A	254442	Harmonic/Super-Locrian, Melodic minor ascending (1212222)/Aug.13th Heptamirror, Jazz Minor
7-35	013568A	254361	Major Diatonic Heptachord/Dominant-13th, Locrian (1221222), Phrygian (1222122), Major inverse
7-36	0123568	444342	
7-36i	0235678	444342	
7-37	0134578	434541	
7-38	0124578	434442	
7-38i	0134678	434442	
8-1	01234567	765442	Chromatic Octamirror
8-2	01234568	665542	
8-2i	02345678	665542	
8-3	01234569	656542	
8-4	01234578	655552	
8-4i	01345678	655552	
8-5	01234678	654553	
8-5i	01245678	654553	
8-6	01235678	654463	
8-7	01234589	645652	
8-8	01234789	644563	
8-9 	01236789	644464	Messiaen's mode 4 (11131113)
8-10	02345679	566452	
8-11	01234579	565552	
8-11i	02456789	565552	
8-12	01345679	556543	
8-12i	02345689	556543	
8-13	01234679	556453	
8-13i	02356789	556453	
8-14	01245679	555562	
8-14i	02345789	555562	
8-15	01234689	555553	
8-15i	01356789	555553	
8-16	01235789	554563	
8-16i	01246789	554563	
8-17	01345689	546652	
8-18	01235689	546553	
8-18i	01346789	546553	
8-19	01245689	545752	
8-19i	01345789	545752	
8-20	01245789	545662	
8-21	0123468A	474643	
8-22	0123568A	465562	
8-22i	0123579A	465562	Spanish Octatonic Scale (r9) (12111222)
8-23	0123578A	465472	Quartal Octachord, Diatonic Octad
8-24	0124568A	464743	
8-25 	0124678A	464644	Messiaen mode 6 (11221122)
8-26	0124579A	456562	Spanish Phrygian (r9) (12112122)/ Blues mode (21211212)
8-27	0124578A	456553	
8-27i	0124679A	456553	
8-28 	0134679A	448444	Alternating Octatonic or Diminished scale (12121212)
8-29	01235679	555553	
8-29i	02346789	555553	
9-1	012345678	876663	Chromatic Nonamirror
9-2	012345679	777663	
9-2i	023456789	777663	
9-3	012345689	767763	
9-3i	013456789	767763	
9-4	012345789	766773	
9-4i	012456789	766773	
9-5	012346789	766674	
9-5i	012356789	766674	
9-6	01234568A	686763	
9-7	01234578A	677673	Nonatonic Blues Scale (211111212)
9-7i	01234579A	677673	
9-8	01234678A	676764	
9-8i	01234689A	676764	
9-9	01235678A	676683	Raga Ramdasi Malhar (r2) (211122111)
9-10	01234679A	668664	
9-11	01235679A	667773	
9-11i	01235689A	667773	Diminishing Nonachord
9-12 	01245689A	666963	Tsjerepnin/Messiaen mode 3 (112112112)
10-1	0123456789	988884	Chromatic Decamirror
10-2	012345678A	898884	
10-3	012345679A	889884	
10-4	012345689A	888984	
10-5	012345789A	888894	Major-minor mixed (r7)
10-6 	012346789A	888885	Messiaen mode 7 (1111211112)
11-1	0123456789A	AAAAA5	Chromatic Undecamirror
12-1	0123456789AB	CCCCC6	Chromatic Scale/Dodecamirror (111111111111)
